source_sku,target_sku,relationship_type,evidence,source_page,confidence,review_required,review_reason
K-38790IN-0,K-22860IN-0,compatible_with,"""Span Round wall hung toilet with seat cover and PureWash™ bidet attachment in white"" — listed under ""Compatible toilets*"" for the PureWash™ bidet attachment.",148,medium,true,"Source lists this as a combo code (""Above codes are combo codes of toilets with seat cover and PureWash™ bidet attachment"") rather than a plain compatibility pairing between two independently-sold SKUs; preserved as printed."
K-75708IN-7,K-22860IN-2-0,compatible_with,"Listed under ""Compatible Toilet List"" / ""Also compatible with*"" for the PureWash™ bidet attachment (K-22860IN-2-0) on page 148.",148,medium,true,"Page lists these toilets under a general ""compatible toilet list"" for the PureWash bidet attachment product family without pairing each toilet to one specific attachment colour SKU; both attachment SKUs shown on the page are recorded."
K-75708IN-7,K-22860IN-2-7,compatible_with,"Listed under ""Compatible Toilet List"" / ""Also compatible with*"" for the PureWash™ bidet attachment (K-22860IN-2-7) on page 148.",148,medium,true,"Page lists these toilets under a general ""compatible toilet list"" for the PureWash bidet attachment product family without pairing each toilet to one specific attachment colour SKU; both attachment SKUs shown on the page are recorded."
K-26998IN-7,K-22860IN-2-0,compatible_with,"Listed under ""Compatible Toilet List"" / ""Also compatible with*"" for the PureWash™ bidet attachment (K-22860IN-2-0) on page 148.",148,medium,true,"Page lists these toilets under a general ""compatible toilet list"" for the PureWash bidet attachment product family without pairing each toilet to one specific attachment colour SKU; both attachment SKUs shown on the page are recorded."
K-26998IN-7,K-22860IN-2-7,compatible_with,"Listed under ""Compatible Toilet List"" / ""Also compatible with*"" for the PureWash™ bidet attachment (K-22860IN-2-7) on page 148.",148,medium,true,"Page lists these toilets under a general ""compatible toilet list"" for the PureWash bidet attachment product family without pairing each toilet to one specific attachment colour SKU; both attachment SKUs shown on the page are recorded."
K-20217IN-S-7,K-22860IN-2-0,compatible_with,"Listed under ""Compatible Toilet List"" / ""Also compatible with*"" for the PureWash™ bidet attachment (K-22860IN-2-0) on page 148.",148,medium,true,"Page lists these toilets under a general ""compatible toilet list"" for the PureWash bidet attachment product family without pairing each toilet to one specific attachment colour SKU; both attachment SKUs shown on the page are recorded."
K-20217IN-S-7,K-22860IN-2-7,compatible_with,"Listed under ""Compatible Toilet List"" / ""Also compatible with*"" for the PureWash™ bidet attachment (K-22860IN-2-7) on page 148.",148,medium,true,"Page lists these toilets under a general ""compatible toilet list"" for the PureWash bidet attachment product family without pairing each toilet to one specific attachment colour SKU; both attachment SKUs shown on the page are recorded."
K-18131IN-S-7,K-22860IN-2-0,compatible_with,"Listed under ""Compatible Toilet List"" / ""Also compatible with*"" for the PureWash™ bidet attachment (K-22860IN-2-0) on page 148.",148,medium,true,"Page lists these toilets under a general ""compatible toilet list"" for the PureWash bidet attachment product family without pairing each toilet to one specific attachment colour SKU; both attachment SKUs shown on the page are recorded."
K-18131IN-S-7,K-22860IN-2-7,compatible_with,"Listed under ""Compatible Toilet List"" / ""Also compatible with*"" for the PureWash™ bidet attachment (K-22860IN-2-7) on page 148.",148,medium,true,"Page lists these toilets under a general ""compatible toilet list"" for the PureWash bidet attachment product family without pairing each toilet to one specific attachment colour SKU; both attachment SKUs shown on the page are recorded."
K-18133IN-SS-0,K-22860IN-2-0,compatible_with,"Listed under ""Also compatible with*"" combo codes (""for projects only"") for the PureWash™ bidet attachment on page 148.",148,low,true,"""For projects only"" combo code; not confirmed as a generally orderable pairing — preserved for completeness and flagged for review."
K-6098IN-SR-0,K-22860IN-2-0,compatible_with,"Listed under ""Also compatible with*"" combo codes (""for projects only"") for the PureWash™ bidet attachment on page 148.",148,low,true,"""For projects only"" combo code; not confirmed as a generally orderable pairing — preserved for completeness and flagged for review."
K-18133IN-2SS-0,K-22860IN-2-0,compatible_with,"Listed under ""Also compatible with*"" combo codes (""for projects only"") for the PureWash™ bidet attachment on page 148.",148,low,true,"""For projects only"" combo code; not confirmed as a generally orderable pairing — preserved for completeness and flagged for review."
K-6098IN-S-0,K-22860IN-2-0,compatible_with,"Listed under ""Also compatible with*"" combo codes (""for projects only"") for the PureWash™ bidet attachment on page 148.",148,low,true,"""For projects only"" combo code; not confirmed as a generally orderable pairing — preserved for completeness and flagged for review."
K-29174IN-S-0,K-22860IN-2-0,compatible_with,"Listed under ""Also compatible with*"" combo codes (""for projects only"") for the PureWash™ bidet attachment on page 148.",148,low,true,"""For projects only"" combo code; not confirmed as a generally orderable pairing — preserved for completeness and flagged for review."
